"name","RTE","selected","shared name"
"AluJr","Yes","false","AluJr"
"PLP1","","false","PLP1"
"AluJo","Yes","false","AluJo"
"AluJb","Yes","false","AluJb"
"TALAM1","","false","TALAM1"
"L1M4c","Yes","false","L1M4c"
"MALAT1","","false","MALAT1"
"NEAT1","","false","NEAT1"
"AluSx","Yes","true","AluSx"
"AluSz","Yes","false","AluSz"
"AluSg","Yes","false","AluSg"
"L1PA7","Yes","true","L1PA7"
"DST","","false","DST"
"L1PA5","Yes","false","L1PA5"
"L1PA3","Yes","false","L1PA3"
"L1PB3","Yes","false","L1PB3"
"L1M2a","Yes","false","L1M2a"
"ENSG00000288899","","false","ENSG00000288899"
"LINC00632","","false","LINC00632"
"L1ME5","Yes","false","L1ME5"
"L1PBa","Yes","false","L1PBa"
"GRIN1","","false","GRIN1"
"PON2","","false","PON2"
"L1MA10","Yes","false","L1MA10"
"MIAT","","false","MIAT"
"L1PA12","Yes","false","L1PA12"
"CELF2","","false","CELF2"
"CAMK2A","","false","CAMK2A"
"MLT1A1","Yes","false","MLT1A1"
"ATP2B1","","false","ATP2B1"
"LINC01278","","false","LINC01278"
"LTR46.int","Yes","false","LTR46.int"
"L2a","Yes","true","L2a"
"AluSx1","Yes","true","AluSx1"
